#(1)ss[m] (2)ds[m] (3)ts[m]  (4)Rss (5)Rds  (6)Rts (7)R_i
0.0000 0.0000 0.0000 0.0000 2.7078 0.0000 12154.0663
0.0000 0.0000 0.0000 0.0000 -23.6376 0.0000 0.0000
0.0000 0.5969 0.0000 0.0000 -51.8917 0.0000 0.0000
0.0000 0.7024 0.0000 0.0000 -34.8944 0.0000 0.0000
0.0000 0.5306 0.0000 0.0000 -81.3102 0.0000 0.0000
0.0000 0.2246 0.0000 0.0000 -32.9145 0.0000 0.0000
0.0000 0.0030 0.0000 0.0000 1.4494 0.0000 16612.4937
0.0000 0.0000 0.0000 0.0000 144.2357 0.0000 1665.3041
0.0000 0.6797 0.0000 0.0000 -320.2633 0.0000 0.0000
0.0000 0.9056 0.0000 0.0000 -37.5857 0.0000 0.0000
0.0000 0.6982 0.0000 0.0000 146.1415 0.0000 1654.4103
0.0000 0.3098 0.0000 0.0000 22.9522 0.0000 4174.6242
0.0000 0.9842 0.0000 0.0000 3.2713 0.0000 11057.8206
0.0000 0.9802 0.0000 0.0000 -106.5943 0.0000 0.0000
0.0000 0.8919 0.0000 0.0000 195.6058 0.0000 1430.0102
0.0000 0.7528 0.0000 0.0000 84.4370 0.0000 2176.5244
0.0000 0.6038 0.0000 0.0000 166.3835 0.0000 1550.5110
0.0000 0.2836 0.0000 0.0000 22.9669 0.0000 4173.2929
0.0000 0.9888 0.0000 0.0000 1.6364 0.0000 15634.7043
0.0000 1.0000 0.0000 0.0000 112.5065 0.0000 1885.5638
0.0000 0.6170 0.0000 0.0000 -262.7088 0.0000 0.0000
0.0000 0.4828 0.0000 0.0000 -37.3828 0.0000 0.0000
0.0000 0.4171 0.0000 0.0000 -303.4520 0.0000 0.0000
0.0000 0.2308 0.0000 0.0000 72.0607 0.0000 2356.0292
0.0000 0.0042 0.0000 0.0000 1.2861 0.0000 17635.9909
0.0000 0.0280 0.0000 0.0000 -128.6884 0.0000 0.0000
0.0000 0.1962 0.0000 0.0000 254.2387 0.0000 1254.3225
0.0000 0.4479 0.0000 0.0000 -202.6205 0.0000 0.0000
0.0000 0.3651 0.0000 0.0000 -35.7155 0.0000 0.0000
0.0000 0.2264 0.0000 0.0000 -99.7186 0.0000 0.0000
0.0000 0.0095 0.0000 0.0000 1.7823 0.0000 14981.1507
0.0000 0.0000 0.0000 0.0000 176.3591 0.0000 1506.0210
0.0000 0.1881 0.0000 0.0000 434.8343 0.0000 959.1093
0.0000 0.6168 0.0000 0.0000 203.5041 0.0000 1401.9850
0.0000 0.4535 0.0000 0.0000 115.3859 0.0000 1861.8885
0.0000 0.2945 0.0000 0.0000 -27.9355 0.0000 0.0000
0.0000 1.0000 0.0000 0.0000 6.6931 0.0000 7730.6340
0.0000 0.9761 0.0000 0.0000 -18.9899 0.0000 0.0000
0.0000 0.1611 0.0000 0.0000 -381.0693 0.0000 0.0000
0.0000 0.6481 0.0000 0.0000 16.7530 0.0000 4886.3334
0.0000 0.5191 0.0000 0.0000 122.0505 0.0000 1810.3403
0.0000 0.3677 0.0000 0.0000 60.4603 0.0000 2572.1413
0.0000 0.9698 0.0000 0.0000 -11.9231 0.0000 0.0000
0.0000 1.0000 0.0000 0.0000 -64.5887 0.0000 0.0000
0.0000 0.0949 0.0000 0.0000 -44.3936 0.0000 0.0000
0.0000 0.5592 0.0000 0.0000 -0.6223 0.0000 0.0000
0.0000 0.5358 0.0000 0.0000 -107.3177 0.0000 0.0000
0.0000 0.4340 0.0000 0.0000 -2.7120 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 -102.1973 0.0000 0.0000
0.0000 0.0758 0.0000 0.0000 138.9621 0.0000 1696.6093
0.0000 0.7171 0.0000 0.0000 23.2652 0.0000 4146.4505
0.0000 0.5314 0.0000 0.0000 -27.9992 0.0000 0.0000
0.0000 0.5865 0.0000 0.0000 29.1800 0.0000 3702.4367
0.0000 0.5007 0.0000 0.0000 -6.6729 0.0000 0.0000
0.0000 0.6508 0.0000 0.0000 -28.4205 0.0000 0.0000
0.0000 0.5452 0.0000 0.0000 15.4824 0.0000 5082.8925
0.0000 0.9197 0.0000 0.0000 -11.1307 0.0000 0.0000
0.0000 0.3024 0.0000 0.0000 18.8836 0.0000 4602.4283
0.0000 0.6270 0.0000 0.0000 43.8747 0.0000 3019.4164
0.0000 0.5452 0.0000 0.0000 -23.2665 0.0000 0.0000
0.0000 0.5882 0.0000 0.0000 4.7765 0.0000 9151.1167
0.0000 0.9908 0.0000 0.0000 -5.2590 0.0000 0.0000
0.0000 0.3867 0.0000 0.0000 74.9867 0.0000 2309.6063
0.0000 0.1316 0.0000 0.0000 -38.3169 0.0000 0.0000
0.0000 0.6565 0.0000 0.0000 -37.3513 0.0000 0.0000
0.0000 0.5468 0.0000 0.0000 25.6775 0.0000 3946.8780
0.0000 0.9358 0.0000 0.0000 1.2908 0.0000 17603.6757
0.0000 0.8065 0.0000 0.0000 -5.0536 0.0000 0.0000
0.0000 0.0300 0.0000 0.0000 -18.8532 0.0000 0.0000
0.0000 0.4183 0.0000 0.0000 -32.7688 0.0000 0.0000
0.0000 0.7024 0.0000 0.0000 11.7239 0.0000 5841.0965
0.0000 0.4921 0.0000 0.0000 -0.3792 0.0000 0.0000
0.0000 0.0597 0.0000 0.0000 1.9541 0.0000 14307.2203
0.0000 0.0000 0.0000 0.0000 -15.4671 0.0000 0.0000
0.0000 0.3457 0.0000 0.0000 -26.4748 0.0000 0.0000
0.0000 0.7936 0.0000 0.0000 41.6279 0.0000 3099.8296
0.0000 0.5540 0.0000 0.0000 -6.8663 0.0000 0.0000
0.0000 0.3554 0.0000 0.0000 -19.1656 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 -3.9589 0.0000 0.0000
0.0000 0.4906 0.0000 0.0000 29.7405 0.0000 3667.3814
0.0000 1.0000 0.0000 0.0000 -19.7555 0.0000 0.0000
0.0000 0.7419 0.0000 0.0000 25.1623 0.0000 3987.0760
0.0000 0.3229 0.0000 0.0000 -4.7789 0.0000 0.0000
0.0000 0.2378 0.0000 0.0000 17.2277 0.0000 4818.5502
0.0000 0.7311 0.0000 0.0000 6.9313 0.0000 7596.6321
0.0000 0.7790 0.0000 0.0000 23.5585 0.0000 4120.5614
0.0000 0.7205 0.0000 0.0000 -14.2656 0.0000 0.0000
0.0000 0.1939 0.0000 0.0000 -12.5009 0.0000 0.0000
0.0000 0.1908 0.0000 0.0000 4.8118 0.0000 9117.5426
0.0000 0.2017 0.0000 0.0000 -1.3987 0.0000 0.0000
0.0000 0.9875 0.0000 0.0000 1.2551 0.0000 17851.9868
0.0000 0.5858 0.0000 0.0000 -2.4504 0.0000 0.0000
0.0000 0.0621 0.0000 0.0000 4.7190 0.0000 9206.7384
0.0000 0.3184 0.0000 0.0000 1.8999 0.0000 14509.7876
0.0000 0.4213 0.0000 0.0000 4.6126 0.0000 9312.3117
0.0000 0.2868 0.0000 0.0000 -7.2596 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 -0.0308 0.0000 0.0000
0.0000 0.1092 0.0000 0.0000 0.3270 0.0000 34974.1111
0.0000 0.8965 0.0000 0.0000 -0.2871 0.0000 0.0000
0.0000 1.0000 0.0000 0.0000 0.3422 0.0000 34188.7621
0.0000 0.8217 0.0000 0.0000 -3.5953 0.0000 0.0000
0.0000 0.4152 0.0000 0.0000 3.2128 0.0000 11158.0384
0.0000 0.0000 0.0000 0.0000 3.3632 0.0000 10905.6244
0.0000 0.0000 0.0000 0.0000 -1.2690 0.0000 0.0000
0.0000 0.8215 0.0000 0.0000 -3.2767 0.0000 0.0000
0.0000 1.0000 0.0000 0.0000 0.0551 0.0000 85182.1271
0.0000 1.0000 0.0000 0.0000 -1.4258 0.0000 0.0000
0.0000 0.5096 0.0000 0.0000 -0.0353 0.0000 0.0000
0.0000 0.9982 0.0000 0.0000 3.4566 0.0000 10757.3369
0.0000 1.0000 0.0000 0.0000 -1.9854 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 -2.2333 0.0000 0.0000
0.0000 0.2258 0.0000 0.0000 -1.7209 0.0000 0.0000
0.0000 1.0000 0.0000 0.0000 -4.3539 0.0000 0.0000
0.0000 0.6161 0.0000 0.0000 9.0005 0.0000 6666.4723
0.0000 0.9996 0.0000 0.0000 0.9380 0.0000 20650.2257
0.0000 1.0000 0.0000 0.0000 0.6402 0.0000 24995.8505
0.0000 0.0045 0.0000 0.0000 -1.6485 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 6.1456 0.0000 8067.6582
0.0000 0.5687 0.0000 0.0000 12.2873 0.0000 5705.6051
0.0000 0.5709 0.0000 0.0000 -2.8042 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.9507 0.0000 20512.1079
0.0000 0.0000 0.0000 0.0000 0.8540 0.0000 21642.1641
0.0000 0.9996 0.0000 0.0000 0.8265 0.0000 21999.8010
0.0000 0.9963 0.0000 0.0000 3.8044 0.0000 10253.8149
0.0000 0.0000 0.0000 0.0000 -1.7875 0.0000 0.0000
0.0000 0.3065 0.0000 0.0000 -2.2537 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 1.0016 0.0000 19984.3706
0.0000 0.0000 0.0000 0.0000 0.9779 0.0000 20224.3663
0.0000 1.0000 0.0000 0.0000 0.7704 0.0000 22786.6304
0.0000 0.9994 0.0000 0.0000 -2.0607 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 -6.7222 0.0000 0.0000
0.0000 0.1482 0.0000 0.0000 -4.3745 0.0000 0.0000
0.0000 1.0000 0.0000 0.0000 0.9999 0.0000 20001.1588
0.0000 1.0000 0.0000 0.0000 0.9812 0.0000 20190.8731
0.0000 0.0000 0.0000 0.0000 0.9164 0.0000 20892.8225
0.0000 0.0000 0.0000 0.0000 1.3060 0.0000 17500.7108
0.0000 0.9951 0.0000 0.0000 4.0934 0.0000 9885.2341
0.0000 0.9141 0.0000 0.0000 3.1108 0.0000 11339.5069
0.0000 1.0000 0.0000 0.0000 1.0001 0.0000 19999.3673
0.0000 1.0000 0.0000 0.0000 0.9877 0.0000 20123.8228
0.0000 0.0000 0.0000 0.0000 0.9275 0.0000 20766.7028
0.0000 0.0000 0.0000 0.0000 1.0327 0.0000 19681.0804
0.0000 0.9890 0.0000 0.0000 0.5979 0.0000 25865.0869
0.0000 1.0000 0.0000 0.0000 -0.4598 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 1.0000 0.0000 20000.4965
0.0000 0.0001 0.0000 0.0000 0.9971 0.0000 20028.6288
0.0000 0.0000 0.0000 0.0000 0.9259 0.0000 20784.7919
0.0000 0.0000 0.0000 0.0000 0.2909 0.0000 37083.8979
