#point type name    lon       lat     z            Ue   Un   Uv      eUe  eUn  eUv      weight
point 3  TOLO -70.806052 -30.169892 0 -0.2539 -0.11623 -0.00549 0.001424 0.000329 0.00182  100 
point 3  PEDR -70.689128 -30.838964 0 -0.54069 -0.10899 -0.03268 0.00055 0.000144 0.000693 100
point 3  CMBA -70.998967 -31.188197 0 -0.85992 0.0065 -0.12288 0.001433 0.000251 0.001941  100
point 3  LVIL -71.514000 -31.909200 0 -0.35497 0.06784 -0.05415 0.001613 0.00029 0.002263  100
point 3  VALL -70.764388 -28.572000 0 -0.01607 -0.00995 0.00074 0.000941 0.000176 0.001248 100
point 3  CMPN -70.685823 -29.028204 0 -0.03608 -0.02366 0.00048 0.001465 0.000301 0.000789 100
point 3  LSCH -71.246039 -29.908192 0 -0.17231 -0.09464 -0.01256 0.0012 0.000225 0.001614  100
point 3  JUNT -70.093602 -29.976605 0 -0.13127 -0.05585 0.01316 0.002644 0.00047 0.001907  100
point 3  BTON -71.487205 -30.263225 0 -0.45461 -0.19944 -0.1003 0.001959 0.000389 0.002785 100
point 3  OVLL -71.203891 -30.603754 0 -0.73252 -0.21994 -0.10594 0.001397 0.000256 0.001923 100
point 3  PFRJ -71.6354   -30.67475  0 -1.44476 -0.23439 -0.24344 0.001659 0.000298 0.002237 100
point 3  EMAT -71.662661 -31.146676 0 -2.1681 -0.05263 0.20847 0.000979 0.000147 0.001314   100
point 3  CMBA -70.998967 -31.188197 0 -0.85992 0.0065 -0.12288 0.001433 0.000251 0.001941  100
point 3  CNBA -71.4579   -31.3982   0 -1.27845 -0.01707 0.05665 0.000896 0.000165 0.001287 100
point 3  SLMC -70.962777 -31.776944 0 -0.39737 0.12945 -0.04395 0.00151 0.000282 0.002066  100
point 3  LVIL -71.514000 -31.909200 0 -0.35497 0.06784 -0.05415 0.001613 0.00029 0.002263  100
