#(1)ss[m] (2)ds[m] (3)ts[m]  (4)Rss (5)Rds  (6)Rts (7)R_i
0.0000 0.0000 0.0000 0.0000 36.5458 0.0000 3308.3467
0.0000 0.0000 0.0000 0.0000 -597.1700 0.0000 0.0000
0.0000 0.8177 0.0000 0.0000 -2441.5595 0.0000 0.0000
0.0000 0.8117 0.0000 0.0000 1640.9226 0.0000 493.7259
0.0000 0.5211 0.0000 0.0000 -536.2772 0.0000 0.0000
0.0000 0.2454 0.0000 0.0000 -187.0125 0.0000 0.0000
0.0000 0.0030 0.0000 0.0000 -8.2550 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 -433.2565 0.0000 0.0000
0.0000 0.7691 0.0000 0.0000 4184.9649 0.0000 309.1606
0.0000 0.8502 0.0000 0.0000 -3254.5357 0.0000 0.0000
0.0000 0.6044 0.0000 0.0000 -886.8345 0.0000 0.0000
0.0000 0.3138 0.0000 0.0000 426.5492 0.0000 968.3791
0.0000 0.9827 0.0000 0.0000 -37.8660 0.0000 0.0000
0.0000 0.9755 0.0000 0.0000 -157.9977 0.0000 0.0000
0.0000 0.6788 0.0000 0.0000 -5789.5718 0.0000 0.0000
0.0000 0.4491 0.0000 0.0000 1094.7693 0.0000 604.4616
0.0000 0.3951 0.0000 0.0000 76.1461 0.0000 2291.9561
0.0000 0.2419 0.0000 0.0000 310.9644 0.0000 1134.1608
0.0000 0.9855 0.0000 0.0000 17.9817 0.0000 4716.4390
0.0000 1.0000 0.0000 0.0000 -4559.3185 0.0000 0.0000
0.0000 0.4763 0.0000 0.0000 5030.3848 0.0000 281.9872
0.0000 0.2247 0.0000 0.0000 -2091.8414 0.0000 0.0000
0.0000 0.2355 0.0000 0.0000 2440.1619 0.0000 404.8747
0.0000 0.1802 0.0000 0.0000 -835.7396 0.0000 0.0000
0.0000 0.0060 0.0000 0.0000 -1.8150 0.0000 0.0000
0.0000 0.0302 0.0000 0.0000 6764.5938 0.0000 243.1695
0.0000 0.3390 0.0000 0.0000 46.7428 0.0000 2925.3146
0.0000 0.4792 0.0000 0.0000 -2785.4042 0.0000 0.0000
0.0000 0.3513 0.0000 0.0000 977.5316 0.0000 639.6827
0.0000 0.2377 0.0000 0.0000 -868.3534 0.0000 0.0000
0.0000 0.0116 0.0000 0.0000 -96.5768 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 -1137.2713 0.0000 0.0000
0.0000 0.3544 0.0000 0.0000 -1530.4139 0.0000 0.0000
0.0000 0.8372 0.0000 0.0000 2488.0022 0.0000 400.9633
0.0000 0.5966 0.0000 0.0000 -1357.9539 0.0000 0.0000
0.0000 0.3711 0.0000 0.0000 1752.9329 0.0000 477.6913
0.0000 1.0000 0.0000 0.0000 108.7817 0.0000 1917.5738
0.0000 1.0000 0.0000 0.0000 945.3063 0.0000 650.4946
0.0000 0.2593 0.0000 0.0000 1491.9285 0.0000 517.7928
0.0000 0.9065 0.0000 0.0000 691.1863 0.0000 760.7333
0.0000 0.6999 0.0000 0.0000 -22.7562 0.0000 0.0000
0.0000 0.4625 0.0000 0.0000 59.8653 0.0000 2584.8920
